rank	gene	description	N	n	CpG_transition	other_CG_transition	CG_transversion	AT_mutation	indelPlusnull	p	q
129	L3MBTL2	l(3)mbt-like 2 (Drosophila)	613109	5	0	2	1	2	0	0.0032	0.47
130	PSMC3	proteasome (prosome, macropain) 26S subunit, ATPase, 3	410901	4	0	0	1	1	2	0.0032	0.47
131	BDKRB1	bradykinin receptor B1	321393	4	1	0	2	1	0	0.0033	0.47
132	CRTAC1	cartilage acidic protein 1	567370	5	0	1	1	2	1	0.0033	0.47
133	SLURP1	secreted LY6/PLAUR domain containing 1	13093	1	0	0	0	0	1	0.0033	0.47
134	MC2R	melanocortin 2 receptor (adrenocorticotropic hormone)	279868	3	2	0	0	1	0	0.0034	0.47
135	KIR3DL3	killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 3	254882	3	1	0	0	2	0	0.0034	0.47
136	PRPH2	peripherin 2 (retinal degeneration, slow)	339199	4	1	0	1	2	0	0.0034	0.47
137	KCNA3	potassium voltage-gated channel, shaker-related subfamily, member 3	422147	4	4	0	0	0	0	0.0034	0.47
138	CLEC4F	C-type lectin domain family 4, member F	597059	5	0	0	2	3	0	0.0035	0.47
139	TMPRSS15		1023444	6	1	0	4	1	0	0.0035	0.47
140	MUC5B	mucin 5B, oligomeric mucus/gel-forming	1353994	8	1	2	1	3	1	0.0035	0.47
141	HOXD10	homeobox D10	295027	3	0	2	0	1	0	0.0036	0.49
142	ADSSL1	adenylosuccinate synthase like 1	303786	3	0	0	0	3	0	0.0037	0.49
143	ZMAT1	zinc finger, matrin type 1	602948	3	1	2	0	0	0	0.0037	0.49
144	PAX3	paired box 3	498367	5	1	0	2	2	0	0.0037	0.49
145	CACNG6	calcium channel, voltage-dependent, gamma subunit 6	151359	2	0	0	0	0	2	0.0038	0.49
146	SNPH	syntaphilin	255874	3	0	0	1	0	2	0.0038	0.49
147	CRB1	crumbs homolog 1 (Drosophila)	1420562	7	2	1	3	1	0	0.0038	0.49
148	ZNF238	zinc finger protein 238	487613	4	2	0	0	1	1	0.0038	0.49
149	CCDC87	coiled-coil domain containing 87	701076	4	0	0	0	1	3	0.0040	0.50
150	THOP1	thimet oligopeptidase 1	154440	3	1	0	1	1	0	0.0040	0.50
151	GPX6	glutathione peroxidase 6 (olfactory)	204229	3	0	0	1	1	1	0.0040	0.50
152	CHRM2	cholinergic receptor, muscarinic 2	470899	4	1	0	2	1	0	0.0040	0.50
153	OR10J3	olfactory receptor, family 10, subfamily J, member 3	339642	3	1	1	1	0	0	0.0041	0.50
154	WNT16	wingless-type MMTV integration site family, member 16	340361	3	0	1	0	0	2	0.0042	0.50
155	KIAA1324L	KIAA1324-like	802639	5	1	2	1	1	0	0.0042	0.50
156	OR5M11	olfactory receptor, family 5, subfamily M, member 11	270666	3	1	0	2	0	0	0.0042	0.50
157	EPDR1	ependymin related protein 1 (zebrafish)	210972	3	0	0	2	0	1	0.0043	0.50
158	DPP10	dipeptidyl-peptidase 10	826813	5	1	0	0	3	1	0.0043	0.50
159	VSTM2A	V-set and transmembrane domain containing 2A	130243	2	1	0	0	0	1	0.0043	0.50
160	SRC	v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian)	406421	4	0	0	4	0	0	0.0043	0.50
161	CBLN4	cerebellin 4 precursor	178617	3	1	0	2	0	0	0.0043	0.50
162	HTR2C	5-hydroxytryptamine (serotonin) receptor 2C	461759	4	0	2	1	1	0	0.0044	0.50
163	HCN4	hyperpolarization activated cyclic nucleotide-gated potassium channel 4	562695	5	0	1	2	2	0	0.0044	0.50
164	MYL4	myosin, light chain 4, alkali; atrial, embryonic	202400	3	1	0	1	1	0	0.0044	0.50
165	TAF6L	TAF6-like RNA polymerase II, p300/CBP-associated factor (PCAF)-associated factor, 65kDa	439463	3	0	3	0	0	0	0.0044	0.50
166	ADAMTS16	ADAM metallopeptidase with thrombospondin type 1 motif, 16	1001549	6	1	1	0	3	1	0.0044	0.50
167	ADCY2	adenylate cyclase 2 (brain)	1096628	6	3	0	3	0	0	0.0044	0.50
168	NEK10	NIMA (never in mitosis gene a)- related kinase 10	620340	4	1	0	3	0	0	0.0045	0.50
169	OR5V1	olfactory receptor, family 5, subfamily V, member 1	330353	3	1	0	1	1	0	0.0045	0.50
170	PLXNB2	plexin B2	318262	4	1	0	3	0	0	0.0045	0.50
171	ASNA1	arsA arsenite transporter, ATP-binding, homolog 1 (bacterial)	324615	3	2	0	0	0	1	0.0045	0.50
172	KIF2B	kinesin family member 2B	648743	5	1	0	3	0	1	0.0046	0.50
173	WIF1	WNT inhibitory factor 1	350129	3	0	0	0	1	2	0.0047	0.51
174	ZNF706	zinc finger protein 706	79526	2	0	0	1	0	1	0.0047	0.51
175	GPR141	G protein-coupled receptor 141	316521	3	1	1	0	1	0	0.0047	0.51
176	OR11G2	olfactory receptor, family 11, subfamily G, member 2	343984	3	1	0	1	0	1	0.0047	0.51
177	FBXW7	F-box and WD repeat domain containing 7	866820	4	2	1	0	0	1	0.0048	0.51
178	CSF2RA	colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophage)	118649	2	1	0	0	0	1	0.0048	0.51
179	IL1F6	interleukin 1 family, member 6 (epsilon)	148346	2	1	1	0	0	0	0.0048	0.51
180	C6orf132	chromosome 6 open reading frame 132	18523	1	0	0	0	0	1	0.0048	0.51
181	FAM75A3	family with sequence similarity 75, member A3	422631	3	1	2	0	0	0	0.0049	0.51
182	TBX5	T-box 5	532440	4	1	0	0	3	0	0.0049	0.51
183	HIST1H1A	histone cluster 1, H1a	216126	3	0	1	2	0	0	0.0050	0.51
184	MICALL2	MICAL-like 2	58882	2	0	0	2	0	0	0.0050	0.51
185	LPAR4	lysophosphatidic acid receptor 4	369768	3	1	0	2	0	0	0.0050	0.51
186	MARCH2	membrane-associated ring finger (C3HC4) 2	214944	3	0	0	1	1	1	0.0050	0.51
187	ALG10B	asparagine-linked glycosylation 10 homolog B (yeast, alpha-1,2-glucosyltransferase)	441552	4	0	1	2	1	0	0.0051	0.51
188	YBX1	Y box binding protein 1	234037	3	0	0	3	0	0	0.0051	0.51
189	PAK3	p21 (CDKN1A)-activated kinase 3	612415	5	0	0	2	2	1	0.0051	0.51
190	G6PD	glucose-6-phosphate dehydrogenase	446369	4	0	2	2	0	0	0.0051	0.51
191	OR5F1	olfactory receptor, family 5, subfamily F, member 1	294138	3	1	0	2	0	0	0.0052	0.52
192	FAM163A		134753	2	0	0	0	2	0	0.0053	0.52
193	ZNF500	zinc finger protein 500	290848	3	1	0	0	2	0	0.0053	0.52
194	FBLN2	fibulin 2	575892	4	0	1	0	1	2	0.0053	0.52
195	ANKRD30A	ankyrin repeat domain 30A	956677	5	0	0	0	5	0	0.0054	0.52
196	OR10A7	olfactory receptor, family 10, subfamily A, member 7	326317	3	0	2	1	0	0	0.0055	0.53
197	RGS7	regulator of G-protein signaling 7	512746	4	1	1	0	2	0	0.0056	0.53
198	UTP14A	UTP14, U3 small nucleolar ribonucleoprotein, homolog A (yeast)	755059	4	0	0	0	1	3	0.0056	0.53
199	FAM83A	family with sequence similarity 83, member A	316822	3	2	1	0	0	0	0.0056	0.53
