Symbol	Name	GeneID	Chr	Chr Band	Cancer Somatic Mut	Cancer Germline Mut	Tumour Types  (Somatic Mutations)	Tumour Types (Germline Mutations)	Cancer Syndrome	Tissue Type	Cancer Molecular Genetics	Mutation Type 	Translocation Partner	Other Germline Mut	Other Syndrome/Disease
ARHGEF12	RHO guanine nucleotide exchange factor (GEF) 12 (LARG)	23365	11	11q23.3 	yes		AML			L	Dom	T	MLL		
ARHH	"RAS homolog gene family, member H (TTF)"	399	4	4p13 	yes		NHL			L	Dom	T	BCL6		
ARID1A	AT rich interactive domain 1A (SWI-like)	8289	1	1p35.3	yes		"clear cell ovarian carcinoma, RCC"			E	Rec	"Mis, N, F, S, D"			
ARID2	AT rich interactive domain 2	196528	12	12q12	yes		hepatocellular carcinoma			E	Rec	"N, S, F"			
ARNT	aryl hydrocarbon receptor nuclear translocator	405	1	1q21 	yes		AML			L	Dom	T	ETV6		
ASPSCR1	"alveolar soft part sarcoma cytoband region, candidate 1"	79058	17	17q25	yes		alveolar soft part sarcoma			M	Dom	T	TFE3
ASXL1	additional sex combs like 1	171023	20	20q11.1	yes		"MDS, CMML"			L	Rec	"F, N, Mis"			
ATF1	activating transcription factor 1	466	12	12q13 	yes		"malignant melanoma of soft parts , angiomatoid fibrous histiocytoma "			"E, M"	Dom	T	"EWSR1, FUS"		
ATIC	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase	471	2	2q35	yes		ALCL			L	Dom	T	ALK		
ATM	ataxia telangiectasia mutated	472	11	11q22.3 	yes	yes	T-PLL	"leukemia, lymphoma, medulloblastoma, glioma"	Ataxia-telangiectasia	"L, O"	Rec	"D, Mis, N, F, S"			
ATRX	alpha thalassemia/mental retardation syndrome X-linked	546	X	Xq21.1	yes		Pancreatic neuroendocrine tumors			E	Rec	"Mis, F, N"		yes	ATR-X (alpha thalassemia/mental retardation) syndrome
BAP1	BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase)	8314	3	3p21.31-p21.2	yes		"uveal melanoma, breast, NSCLC"			E	Rec	"N, Mis, F, S, O"			
BCL10	B-cell CLL/lymphoma 10	8915	1	1p22	yes		MALT 			L	Dom	T	IGH@		
BCL11A	B-cell CLL/lymphoma 11A	53335	2	2p13 	yes		B-CLL			L	Dom	T	IGH@		
BCL11B	B-cell CLL/lymphoma 11B  (CTIP2)	64919	14	14q32.1	yes		T-ALL			L	Dom	T	TLX3		
BCL2	B-cell CLL/lymphoma 2	596	18	18q21.3 	yes		"NHL, CLL"			L	Dom	T	IGH@		
BCL3	B-cell CLL/lymphoma 3	602	19	19q13 	yes		CLL 			L	Dom	T	IGH@		
BCL5	B-cell CLL/lymphoma 5	603	17	17q22 	yes		CLL			L	Dom	T	MYC		
BCL6	B-cell CLL/lymphoma 6	604	3	3q27 	yes		"NHL, CLL"			L	Dom	"T, Mis"	"IG loci, ZNFN1A1, LCP1, PIM1, TFRC, MHC2TA, NACA, HSPCB, HSPCA, HIST1H4I, IL21R,  POU2AF1, ARHH, EIF4A2, SFRS3"		
BCL7A	B-cell CLL/lymphoma 7A	605	12	12q24.1	yes		BNHL			L	Dom	T	MYC		
BCL9	B-cell CLL/lymphoma 9	607	1	1q21	yes		B-ALL			L	Dom	T	"IGH@, IGL@"		
BCR	breakpoint cluster region	613	22	22q11.21 	yes		"CML, ALL, AML"			L	Dom	T	"ABL1,  FGFR1, JAK2 "		
BHD	"folliculin, Birt-Hogg-Dube syndrome"	201163	17	17p11.2		yes		"renal, fibrofolliculomas, trichodiscomas "	Birt-Hogg-Dube syndrome	"E, M"	Rec?	"Mis. N, F"			
BIRC3	baculoviral IAP repeat-containing 3	330	11	11q22-q23	yes		MALT			L	Dom	T	MALT1		
BLM	Bloom Syndrome	641	15	15q26.1		yes		"leukemia, lymphoma, skin squamous cell , other cancers"	Bloom Syndrome	"L, E"	Rec	"Mis, N, F"			
BMPR1A	"bone morphogenetic protein receptor, type IA"	657	10	 10q22.3 		yes		gastrointestinal polyps	Juvenile polyposis	E	Rec	"Mis, N, F"			
BRAF	v-raf murine sarcoma viral oncogene homolog B1	673	7	7q34	yes		"melanoma, colorectal, papillary thyroid, borderline ov, Non small-cell lung cancer (NSCLC), cholangiocarcinoma, pilocytic astrocytoma"			E	Dom	"Mis, T, O"	"AKAP9, KIAA1549"	yes	Cardio-facio-cutaneous syndrome
BRCA1	familial breast/ovarian cancer gene 1	672	17	17q21	yes	yes	ovarian	"breast, ovarian"	Hereditary breast/ovarian cancer	E	Rec	"D, Mis, N, F, S"			
BRCA2	familial breast/ovarian cancer gene 2	675	13	13q12	yes	yes	"breast, ovarian, pancreatic"	"breast, ovarian, pancreatic, leukemia  (FANCB, FANCD1)"	Hereditary breast/ovarian cancer	"L, E"	Rec	"D, Mis, N, F, S"			
BRD3	bromodomain containing 3	8019	9	9q34	yes		lethal midline carcinoma of young people			E	Dom	T	"NUT, C15orf55"		
BRD4	bromodomain containing 4	23476	19	19p13.1	yes		lethal midline carcinoma of young people			E	Dom	T	"NUT, C15orf55"		
BRIP1	BRCA1 interacting protein C-terminal helicase 1	83990	17	17q22		yes		"AML, leukemia, breast"	"Fanconi anaemia J, breast cancer susceptiblity"	"L, E"	Rec	"F, N, Mis"			
BTG1	"B-cell translocation gene 1, anti-proliferative"	694	12	12q22	yes		BCLL			L	Dom	T	MYC		
BUB1B	BUB1 budding uninhibited by benzimidazoles 1 homolog beta (yeast)	701	15	15q15		yes		rhabdomyosarcoma	Mosaic variegated aneuploidy	M	Rec	"Mis, N, F, S"			
C12orf9	cytoband 12 open reading frame 9	93669	12	12q14.3	yes		lipoma			M	Dom	T	LPP
C15orf21	cytoband 15 open reading frame 21	283651	15	15q21.1	yes		prostate			E	Dom	T	ETV1
C15orf55	cytoband 15 open reading frame 55	256646	15	15q14	yes		lethal midline carcinoma			E	Dom	T	"BRD3, BRD4"
C16orf75	cytoband 16 open reading frame 75	116028	16	16p13.13	yes		"PMBL, Hodgkin Lymphona, "			L	Dom	T	CIITA
CANT1	calcium activated nucleotidase 1	124583	17	17q25	yes		prostate			E	Dom	T	ETV4		
CARD11	"caspase recruitment domain family, member 11"	84433	7	7p22 	yes		DLBCL			L	Dom	Mis			
CARS	cysteinyl-tRNA synthetase	833	11	11p15.5	yes		ALCL			L	Dom	T	ALK		
CBFA2T1	"core-binding factor, runt domain, alpha subunit 2;translocated to, 1  (ETO)"	862	8	8q22 	yes		AML			L	Dom	T	"MLL, RUNX1"		
CBFA2T3	"core-binding factor, runt domain, alpha subunit 2; translocated to, 3 (MTG-16)"	863	16	16q24	yes		AML			L	Dom	T	RUNX1		
CBFB	"core-binding factor, beta subunit"	865	16	16q22 	yes		AML			L	Dom	T	MYH11		
CBL 	Cas-Br-M (murine) ecotropic retroviral transforming	867	11	11q23.3	yes		"AML, JMML, MDS"			L	"Dom, Rec"	"T, Mis S, O"	MLL		
CBLB	Cas-Br-M (murine) ecotropic retroviral transforming sequence b	868	3	3q13.11	yes		AML			L	Rec	Mis S			
CBLC	Cas-Br-M (murine) ecotropic retroviral transforming sequence c	23624	19	19q13.2	yes		AML			L	Rec	M			
CCNB1IP1	"cyclin B1 interacting protein 1, E3 ubiquitin protein ligase"	57820	14	14q11.2	yes		leiomyoma			M	Dom	T	HMGA2		
CCND1	cyclin D1	595	11	11q13 	yes		"CLL, B-ALL, breast"			"L, E"	Dom	T	"IGH@, FSTL3"		
CCND2	cyclin D2	894	12	12p13	yes		"NHL,CLL"			L	Dom	T	IGL@		
CCND3	cyclin D3	896	6	6p21	yes		MM			L	Dom	T	IGH@		
CCNE1	cyclin E1	898	19	19q12	yes		serous ovarian			E	Dom	A			
CD273	programmed cell death 1 ligand 2	80380	9	9p24.2	yes		"PMBL, Hodgkin Lymphona, "			L	Dom	T	CIITA		
CD274	CD274 molecule	29126	9	9p24	yes		"PMBL, Hodgkin Lymphona, "			L	Dom	T	CIITA		
CD74	"CD74 molecule, major histocompatibility complex, class II invariant chain"	972	5	5q32	yes		NSCLC			E	Dom	T	ROS1		
CD79A	"CD79a molecule, immunoglobulin-associated alpha"	973	19	19q13.2	yes		DLBCL			L	Dom	"O, S"			
CD79B	"CD79b molecule, immunoglobulin-associated beta"	974	17	17q23	yes		DLBCL			L	Dom	"Mis, O"			
CDH1	"cadherin 1, type 1, E-cadherin (epithelial) (ECAD)"	999	16	16q22.1 	yes	yes	"lobular breast, gastric"	gastric	Familial gastric carcinoma	E	Rec	"Mis, N, F, S"			
CDH11	"cadherin 11, type 2, OB-cadherin (osteoblast)"	1009	16	16q22.1 	yes		aneurysmal bone cysts			M	Dom	T	USP6		
CDK12	cyclin-dependent kinase 12	51755	17	17q12	yes		serous ovarian			E	Rec	"Mis, N, F"			
CDK4	cyclin-dependent kinase 4	1019	12	12q14 		yes		melanoma 	Familial malignant melanoma	E	Dom	Mis			
CDK6	cyclin-dependent kinase 6	1021	7	7q21-q22	yes		ALL			L	Dom	T	MLLT10		
CDKN2A -p16(INK4a) 	cyclin-dependent kinase inhibitor 2A (p16(INK4a)) gene	1029	9	9p21 	yes	yes	"melanoma, multiple other tumour types"	"melanoma, pancreatic"	Familial malignant melanoma	"L, E, M, O"	Rec	"D, Mis, N, F, S"			
CDKN2A- p14ARF	cyclin-dependent kinase inhibitor 2A--  p14ARF protein	1029	9	9p21 	yes	yes	"melanoma, multiple other tumour types"	"melanoma, pancreatic"	Familial malignant melanoma	"L, E, M, O"	Rec	"D, S"			
CDKN2C	"cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)"	1031	1	1p32	yes		"glioma, MM"			"O, L"	Rec	D			
CDX2	caudal type homeo box transcription factor 2	1045	13	13q12.3 	yes		AML			L	Dom	T	ETV6		
CEBPA	"CCAAT/enhancer binding protein (C/EBP), alpha"	1050	19	19q13.1	yes		"AML, MDS"			L	Dom	"Mis, N, F"			
CEP1	centrosomal protein 1	11064	9	9q33	yes		"MPD, NHL"			L	Dom	T	FGFR1		
CHCHD7	coiled-coil-helix-coiled-coil-helix domain containing 7	79145	8	8q11.2	yes		salivary adenoma			E	Dom	T	PLAG1		
CHEK2	CHK2 checkpoint homolog (S. pombe)	11200	22	22q12.1		yes		breast 	familial breast cancer	E	Rec	F			
CHIC2	cysteine-rich hydrophobic domain 2	26511	4	4q11-q12	yes		AML			L	Dom	T	ETV6		
CHN1	chimerin (chimaerin) 1	1123	2	2q31-q32.1 	yes		extraskeletal myxoid chondrosarcoma			M	Dom	T	TAF15		
CIC	capicua homolog	23152	19	19q13.2	yes		oligodendroglioma			O	Rec	"Mis, F, S"			
CIITA	"class II, major histocompatibility complex, transactivator"	4261	16	16p13	yes		"PMBL, Hodgkin Lymphona, "			L	Dom	T	"FLJ27352, CD274, CD273, RALGDS, RUNDC2A, C16orf75"		
CLTC	"clathrin, heavy polypeptide (Hc)"	1213	17	17q11-qter	yes		"ALCL, renal "			L	Dom	T	"ALK, TFE3"		
CLTCL1	"clathrin, heavy polypeptide-like 1"	8218	22	22q11.21	yes		ALCL			L	Dom	T	?		
CMKOR1	chemokine orphan receptor 1	57007	2	2q37.3	yes		lipoma			M	Dom	T	HMGA2		
COL1A1	"collagen, type I, alpha 1"	1277	17	17q21.31-q22	yes		"dermatofibrosarcoma protuberans, aneurysmal bone cyst "			M	Dom	T	"PDGFB, USP6"	yes	Osteogenesis imperfecta
COPEB	core promoter element binding protein (KLF6)	1316	10	10p15	yes		"prostate, glioma"			"E, O"	Rec	"Mis, N "			
COX6C	cytochrome c oxidase subunit VIc	1345	8	8q22-q23 	yes		uterine leiomyoma			M	Dom	T	HMGA2		
CREB1	cAMP responsive element binding protein 1	1385	2	2q34	yes		"clear cell sarcoma, angiomatoid fibrous histiocytoma"			M	Dom	T	EWSR1		
CREB3L1	cAMP responsive element binding protein 3-like 1	90993	11	11p11.2	yes		myxofibrosarcoma			M	Dom	T	FUS		
CREB3L2	cAMP responsive element binding protein 3-like 2	64764	7	7q34	yes		fibromyxoid sarcoma			M	Dom	T	FUS		
CREBBP	CREB binding protein (CBP)	1387	16	16p13.3 	yes		"ALL, AML, DLBCL, B-NHL "			L	Dom/Rec	"T, N, F, Mis, O"	"MLL, MORF, RUNXBP2"	yes	Rubinstein-Taybi syndrome
CRLF2	cytokine receptor-like factor 2	64109	"X,Y"	Xp22.3; Yp11.3	yes		"B-ALL, Downs associated ALL"			L	Dom	"Mis, T"	"P2RY8, IGH@"		
CRTC3	CREB regulated transcription coactivator 3	64784	15	15q26.1	yes		salivary gland mucoepidermoid			E	Dom	T	MAML2		
CTNNB1	"catenin (cadherin-associated protein), beta 1"	1499	3	3p22-p21.3 	yes		"colorectal, cvarian,  hepatoblastoma, others, pleomorphic salivary adenoma"			"E, M, O"	Dom	"H, Mis, T"	PLAG1		
CYLD	familial cylindromatosis gene	1540	16	16q12-q13 	yes	yes	cylindroma	cylindroma	Familial cylindromatosis	E	Rec	"Mis, N, F, S"			
D10S170	"DNA segment on cytoband 10 (unique) 170, H4 gene (PTC1)"	8030	10	10q21	yes		"papillary thyroid, CML"			E	Dom	T	"RET, PDGFRB"
DAXX	death-domain associated protein	1616	6	6p21.3	yes		Pancreatic neuroendocrine tumors			E	Rec	"Mis, F, N"			
DDB2	damage-specific DNA binding protein 2	1643	11	11p12		yes		"skin basal cell, skin squamous cell, melanoma"	Xeroderma pigmentosum (E)	E	Rec	"Mis, N"			
DDIT3	DNA-damage-inducible transcript 3	1649	12	12q13.1-q13.2 	yes		liposarcoma			M	Dom	T	FUS		
DDX10	DEAD (Asp-Glu-Ala-Asp) box polypeptide 10	1662	11	11q22-q23 	yes		AML*			L	Dom	T	NUP98		
DDX5	DEAD (Asp-Glu-Ala-Asp) box polypeptide 5	1655	17	17q21	yes		prostate			E	Dom	T	ETV4		
DDX6	DEAD (Asp-Glu-Ala-Asp) box polypeptide 6	1656	11	11q23.3	yes		B-NHL			L	Dom	T	IGH@		
DEK	DEK oncogene (DNA binding)	7913	6	6p23	yes		AML			L	Dom	T	NUP214		
DICER1	"dicer 1, ribonuclease type III "	23405	14	14q32.13		yes		pleuropulmonary blastoma	Familial Pleuropulmonary Blastoma	E	Rec	"Mis F, N"			
DNMT3A	DNA (cytosine-5-)-methyltransferase 3 alpha	1788	2	2p23	yes		AML			L	Rec	"Mis, F, N, S"			
DUX4	"double homeobox, 4"	22947	4	4q35	yes		soft tissue sarcoma			M	Dom	T	CIC		
EBF1	early B-cell factor 1	1879	5	5q34	yes		lipoma			M	Dom	T	HMGA2		
EGFR	"epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)"	1956	7	7p12.3-p12.1 	yes	yes	"glioma, NSCLC"	NSCLC	Familial lung cancer	"E, O"	Dom	"A, O, Mis"			
EIF4A2	"eukaryotic translation initiation factor 4A, isoform 2"	1974	3	3q27.3	yes		NHL			L	Dom	T	BCL6		
ELF4	E74-like factor 4 (ets domain transcription factor)	2000	X	Xq26	yes		AML			L	Dom	T	ERG		
ELK4	"ELK4, ETS-domain protein (SRF accessory protein 1)"	2005	1	1q32	yes		prostate			E	Dom	T	SLC45A3		
ELKS	ELKS protein	23085	12	12p13.3	yes		papillary thyroid			E	Dom	T	RET		
ELL	ELL gene (11-19 lysine-rich leukemia gene)	8178	19	19p13.1	yes		AL			L	Dom	T	MLL		
ELN	elastin	2006	7	7q11.23	yes		B-ALL			L	Dom	T	PAX5	yes	"Supravalvular Aortic Stenosis, Cutis laxa , Williams-Beuren Syndrome"
EML4	echinoderm microtubule associated protein like 4	27436	2	2p21	yes		NSCLC			E	Dom	T	ALK		
EP300	300 kd E1A-Binding protein gene	2033	22	22q13 	yes		"colorectal, breast, pancreatic, AML, ALL, DLBCL"			"L, E"	Rec	"T,  N, F, Mis, O"	"MLL, RUNXBP2"		
EPS15	epidermal growth factor receptor pathway substrate 15 (AF1p)	2060	1	1p32 	yes		ALL			L	Dom	T	MLL		
ERBB2	"v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)"	2064	17	17q21.1 	yes		"breast, ovarian, other tumour types, NSCLC, gastric"			E	Dom	"A, Mis, O"			
ERCC2	"excision repair cross-complementing rodent repair deficiency, complementation group 2 (xeroderma pigmentosum D)"	2068	19	19q13.2-q13.3		yes		"skin basal cell, skin squamous cell, melanoma"	Xeroderma pigmentosum (D)	E	Rec	"Mis, N, F, S"			
ERCC3	"excision repair cross-complementing rodent repair deficiency, complementation group 3 (xeroderma pigmentosum group B complementing)"	2071	2	2q21		yes		"skin basal cell, skin squamous cell, melanoma"	Xeroderma pigmentosum (B)	E	Rec	"Mis, S"			
ERCC4	"excision repair cross-complementing rodent repair deficiency, complementation group 4"	2072	16	16p13.3-p13.13		yes		"skin basal cell, skin squamous cell, melanoma"	Xeroderma pigmentosum (F)	E	Rec	"Mis, N, F"			
ERCC5	"excision repair cross-complementing rodent repair deficiency, complementation group 5 (xeroderma pigmentosum, complementation group G (Cockayne syndrome))"	2073	13	13q33		yes		"skin basal cell, skin squamous cell, melanoma"	Xeroderma pigmentosum (G)	E	Rec	"Mis, N, F"			
ERG 	v-ets erythroblastosis virus E26 oncogene like (avian)	2078	21	21q22.3	yes		"Ewing sarcoma, prostate, AML"			"M, E, L"	Dom	T	"EWSR1, TMPRSS2, ELF4, FUS, HERPUD1, NDRG1"		
ETV1	ets variant gene 1	2115	7	 7p22	yes		"Ewing sarcoma, prostate"			"M, E"	Dom	T	"EWSR1, TMPRSS2, SLC45A3, C15orf21, HNRNPA2B1. ACSL3"		
ETV4	"ets variant gene 4 (E1A enhancer binding protein, E1AF)"	2118	17	17q21	yes		"Ewing sarcoma, Prostate carcinoma"			"M, E"	Dom	T	"EWSR1, TMPRSS2, DDX5, KLK2, CANT1"		
ETV5	ets variant gene 5	2119	3	3q28 	yes		Prostate 			E	Dom	T	"TMPRSS2, SCL45A3"		
ETV6	ets variant gene 6 (TEL oncogene)	2120	12	12p13 	yes		"congenital fibrosarcoma, multiple leukemia and lymphoma,  secretory breast, MDS, ALL"			"L, E, M"	Dom	T	"NTRK3, RUNX1, PDGFRB, ABL1, MN1, ABL2, FACL6, CHIC2, ARNT, JAK2, EVI1, CDX2, STL, HLXB9, MDS2, PER1, SYK, TTL, FGFR3, PAX5"		
EVI1	ecotropic viral integration site 1	2122	3	3q26 	yes		"AML, CML"			L	Dom	T	"RUNX1, ETV6, PRDM16, RPN1"		
EWSR1	Ewing sarcoma breakpoint region 1 (EWS) 	2130	22	22q12 	yes		"Ewing sarcoma,  desmoplastic small round cell tumor , ALL, clear cell sarcoma, sarcoma, myoepithelioma"			"L, M"	Dom	T	"FLI1, ERG, ZNF278, NR4A3, FEV, ATF1, ETV1, ETV4, WT1, ZNF384, CREB1, POU5F1,  PBX1"		
EXT1	multiple exostoses type 1 gene	2131	8	8q24.11-q24.13 		yes		"exostoses, osteosarcoma"	Multiple Exostoses Type 1	M	Rec	"Mis, N, F, S"			
EXT2	multiple exostoses type 2 gene	2132	11	11p12-p11		yes		"exostoses, osteosarcoma"	Multiple Exostoses Type 2	M	Rec	"Mis, N, F, S"			
EZH2	enhancer of zeste homolog 2	2146	7	7q35-q36	yes		DLBCL			L	Rec?	Mis			
FACL6	"fatty-acid-coenzyme A ligase, long-chain 6"	23305	5	5q31 	yes		"AML, AEL"			L	Dom	T	ETV6		
FANCA	"Fanconi anemia, complementation group A"	2175	16	16q24.3		yes		"AML, leukemia"	Fanconi anaemia A 	L	Rec	"D, Mis, N, F, S"			
FANCC	"Fanconi anemia, complementation group C"	2176	9	9q22.3		yes		"AML, leukemia"	Fanconi anaemia C	L	Rec	"D, Mis, N, F, S"			
FANCD2	"Fanconi anemia, complementation group D2"	2177	3	3p26		yes		"AML, leukemia"	Fanconi anaemia D2	L	Rec	"D, Mis, N, F"			
FANCE	"Fanconi anemia, complementation group E"	2178	6	6p21-p22		yes		"AML, leukemia"	Fanconi anaemia E	L	Rec	"N, F, S"			
FANCF	"Fanconi anemia, complementation group F"	2188	11	11p15		yes		"AML, leukemia"	Fanconi anaemia F	L	Rec	"N, F"			
FANCG	"Fanconi anemia, complementation group G"	2189	9	9p13		yes		"AML, leukemia"	Fanconi anaemia G	L	Rec	"Mis, N, F, S"			
FBXW7	"F-box and WD-40 domain protein 7 (archipelago homolog, Drosophila)"	55294	4	4q31.3	yes		"colorectal, endometrial, T-ALL"			"E, L"	Rec	"Mis, N, D, F"			
FCGR2B	"Fc fragment of IgG, low affinity IIb, receptor for (CD32)"	2213	1	1q23	yes		ALL			L	Dom	T	?		
FEV	FEV protein - (HSRNAFEV)	54738	2	2q36	yes		Ewing sarcoma			M	Dom	T	"EWSR1,  FUS"		
FGFR1	fibroblast growth factor receptor 1 	2260	8	8p11.2-p11.1 	yes		"MPD, NHL"			L	Dom	T	"BCR, FOP, ZNF198, CEP1"	yes	"Pfeiffer syndrome, Kallman syndrome"
FGFR1OP	FGFR1 oncogene partner (FOP)	11116	6	6q27	yes		"MPD, NHL"			L	Dom	T	FGFR1		
FGFR2	fibroblast growth factor receptor 2 	2263	10	10q26 	yes		"gastric. NSCLC, endometrial"			E	Dom	Mis		yes	"Crouzon, Pfeiffer, and Apert syndromes"
FGFR3	fibroblast growth factor receptor 3	2261	4	4p16.3 	yes		"bladder, MM, T-cell lymphoma"			"L, E"	Dom	"Mis, T"	"IGH@, ETV6"	yes	"Hypochondroplasia, Thanatophoric dysplasia"
FH	fumarate hydratase	2271	1	1q42.1 		yes		"lieomyomatosis, renal"	hereditary leiomyomatosis and renal cell cancer	"E, M"	Rec	"Mis, N, F"			
FHIT	fragile histidine triad gene	2272	3	3p14.2	yes		pleomorphic salivary gland adenoma			E	Dom	T	HMGA2		
FIP1L1	FIP1 like 1 (S. cerevisiae)	81608	4	4q12	yes		idiopathic hypereosinophilic syndrome			L	Dom	T	PDGFRA		
FLI1	Friend leukemia virus integration 1	2313	11	11q24 	yes		Ewing sarcoma			M	Dom	T	EWSR1		
FLJ27352	"BX648577, FLJ27352 hypothetical LOC145788"	145788	15	15q21.3	yes		"PMBL, Hodgkin Lymphona, "			L	Dom	T	CIITA		
FLT3	fms-related tyrosine kinase 3	2322	13	13q12 	yes		"AML, ALL"			L	Dom	"Mis, O"			
FNBP1	formin binding protein 1 (FBP17)	23048	9	9q23	yes		AML			L	Dom	T	MLL		
FOXL2	forkhead box L2	668	3	3q23	yes		granulosa-cell tumour of the ovary			O	Dom	Mis		yes	"Blepharophimosis, ptosis and epicanthus inversus Types I, II; Premature ovarian failure type III"
FOXO1A	forkhead box O1A (FKHR)	2308	13	13q14.1 	yes		alveolar rhabdomyosarcomas			M	Dom	T	PAX3		
FOXO3A	forkhead box O3A	2309	6	6q21 	yes		AL			L	Dom	T	MLL		
FOXP1	forkhead box P1	27086	3	3p14.1	yes		ALL			L	Dom	T	PAX5		
FSTL3	follistatin-like 3 (secreted glycoprotein)	10272	19	19p13	yes		B-CLL			L	Dom	T	CCND1		
FUBP1	far upstream element (FUSE) binding protein 1	8880	1	1p13.1	yes		oligodendroglioma			O	Rec	"F, N"			
FUS	"fusion, derived from t(12;16) malignant liposarcoma"	2521	16	16p11.2 	yes		"liposarcoma, AML, Ewing sarcoma, angiomatoid fibrous histiocytoma, fibromyxoid sarcoma"			"M, L"	Dom	T	"DDIT3, ERG, FEV, ATF1, CREB3L2, CREB3L1"		
FVT1	follicular lymphoma variant translocation 1	2531	18	18q21.3	yes		B-NHL			L	Dom	T	IGK@		
GAS7	growth arrest-specific 7	8522	17	17p 	yes		AML*			L	Dom	T	MLL		
GATA1	GATA binding protein 1 (globin transcription factor 1)	2623	X	Xp11.23 	yes		megakaryoblastic leukemia of Downs Syndrome			L	Dom	"Mis, F"			
GATA2	GATA binding protein 2	2624	3	3q21.3 	yes		AML(CML blast transformation)			L	Dom	Mis			
GATA3	GATA binding protein 3	2625	10	10p15	yes		breast			E	Rec	"F, N, S"		yes	"HDR syndrome (HYPOPARATHYROIDISM, SENSORINEURAL DEAFNESS, AND RENAL DISEASE)"
GMPS	guanine monphosphate synthetase	8833	3	3q24 	yes		AML			L	Dom	T	MLL		
GNA11	"guanine nucleotide binding protein (G protein), alpha 11 (Gq class)"	2767	19	19p13.3	yes		uveal melanoma			E	Dom	Mis			
GNAQ	"guanine nucleotide binding protein (G protein), q polypeptide"	2776	9	9q21	yes		uveal melanoma			E	Dom	Mis			
GNAS	"guanine nucleotide binding protein (G protein), alpha stimulating activity polypeptide 1"	2778	20	20q13.2 	yes		pituitary adenoma			E	Dom	Mis		yes	"McCune-Albright syndrome; pseudohypoparathyroidism, type IA"
GOLGA5	"golgi autoantigen, golgin subfamily a, 5  (PTC5)"	9950	14	14q	yes		papillary thyroid			E	Dom	T	RET		
GOPC	golgi associated PDZ and coiled-coil motif containing	57120	6	6q21	yes		glioblastoma			O	Dom	O	ROS1		
GPC3	glypican 3	2719	X	Xq26.1		yes		Wilms tumour	Simpson-Golabi-Behmel syndrome	O	Rec/X	"T, D, Mis, N, F, S"			
GPHN	gephyrin (GPH)	10243	14	14q24 	yes		AL			L	Dom	T	MLL		
GRAF	GTPase regulator associated with focal adhesion kinase pp125(FAK)	23092	5	5q31 	yes		"AML, MDS"			L	Dom	"T, F, S"	MLL		
HCMOGT-1	sperm antigen HCMOGT-1	92521	17	17p11.2	yes		JMML			L	Dom	T	PDGFRB		
